row_type,group,scenario,role,metric_name,metric_label,count,median_seconds,mean_seconds,min_seconds,max_seconds,stdev_seconds,baseline_median_seconds,optimized_median_seconds,difference_seconds,relative_change_pct,is_bottleneck,run_id,shard_count,critical_path_seconds,average_shard_seconds,fastest_shard_seconds,slowest_shard_seconds,spread_seconds,imbalance_ratio,baseline_ratio,optimized_ratio,difference_ratio
sharding_run,sharding_extended,sharding_baseline_extended,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_05,4,12.559,10.6495,7.967,12.559,4.592,1.179304,,,
sharding_run,sharding_extended,sharding_baseline_extended,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_06,4,12.41,10.81725,8.191,12.41,4.219,1.147242,,,
sharding_run,sharding_extended,sharding_baseline_extended,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_07,4,11.95,10.8445,8.216,11.95,3.734,1.101941,,,
sharding_run,sharding_extended,sharding_baseline_extended,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_08,4,12.68,10.29825,8.184,12.68,4.496,1.231277,,,
sharding_run,sharding_extended,sharding_baseline_extended,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_09,4,13.246,10.8175,8.277,13.246,4.969,1.224497,,,
sharding_run,sharding_extended,sharding_baseline_extended,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_10,4,12.65,10.85075,8.882,12.65,3.768,1.165818,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_01,4,11.393,10.677,9.756,11.393,1.637,1.06706,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_02,4,12.25,11.04025,9.151,12.25,3.099,1.109576,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_03,4,11.76,11.00675,9.528,11.76,2.232,1.068435,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_04,4,12.007,10.46125,9.49,12.007,2.517,1.14776,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_05,4,11.72,10.879,9.131,11.72,2.589,1.077305,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_06,4,11.755,10.882,9.755,11.755,2.0,1.080224,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_07,4,11.965,11.0455,9.683,11.965,2.282,1.083247,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_08,4,11.568,10.256,8.716,11.568,2.852,1.127925,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_09,4,11.7,10.96225,9.768,11.7,1.932,1.067299,,,
sharding_run,sharding_extended,sharding_timing_extended,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_10,4,11.326,10.61125,9.301,11.326,2.025,1.067358,,,
sharding_comparison,sharding_original,,,critical_path_ms,Critical path,,,,,,,7.744,7.814,0.07,0.903926,,,,,,,,,,,,
sharding_comparison,sharding_original,,,spread_ms,Shard spread,,,,,,,1.535,1.522,-0.013,-0.846906,,,,,,,,,,,,
sharding_comparison,sharding_original,,,imbalance_ratio,Imbalance ratio,,,,,,,,,,0.177461,,,,,,,,,1.10823,1.106267,1.10823,0.001963
sharding_comparison,sharding_extended,,,critical_path_ms,Critical path,,,,,,,12.6045,11.7375,-0.867,-6.878496,,,,,,,,,,,,
sharding_comparison,sharding_extended,,,spread_ms,Shard spread,,,,,,,4.139,2.257,-1.882,-45.46992,,,,,,,,,,,,
sharding_comparison,sharding_extended,,,imbalance_ratio,Imbalance ratio,,,,,,,,,,-7.782131,,,,,,,,,1.078765,1.1698,1.078765,-0.091035
